"";"Lp";"kod";"Pytanie";"Minimum";"Maksimum";"Min";"Max";"n";"Œrednia";"SD"
"ziemniak.wyglad";58;"ziemniak.wyglad";"W jakim stopniu brak oczek i kie³ków jest wa¿ny dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;172;6,436;2,76
"ziemniak.spozycie";59;"ziemniak.spozycie";"Spo¿ycie ziemniaków";"Nigdy";"2-3 razy dziennie";0;1;195;0,125;0,133
"ziemniak.okres";60;"ziemniak.okres";"Sezonowoœæ/promocja przy zakupie";"Niezale¿nie od ceny i sezonu";"Zale¿nie od ceny i sezonu";0;1;195;0,051;0,221
"ziemniak.sklep";61;"ziemniak.sklep";"Miejsce zakupu";"Z ogródka/bezpoœrednio od rolnika";"Hipermarket/supermarket";0;1;172;0,458;0,307
"ziemniak.opakowanie";62;"ziemniak.opakowanie";"Wygoda opakowania";"Z ziemi luzem";"Myte w worku";0;1;172;0,415;0,316
"ziemniak.obrobka";63;"ziemniak.obrobka";"Czy Pana Pani zdaniem ziemniaki s¹ trudne w obróbce ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;1,964;1,105
"ziemniak.potrawy";64;"ziemniak.potrawy";"Czy Pana Pani zdaniem ziemniaki nadaj¹ siê do przygotowania wielu potraw ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;4,41;0,81
"ziemniak.zdrowotnosc";65;"ziemniak.zdrowotnosc";"Czy Pana Pani zdaniem ziemniaki maj¹ korzystny wp³yw na zdrowie ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;3,651;0,856
"ziemniak.smak";66;"ziemniak.smak";"Czy Pana Pani zdaniem ziemniaki dostêpne na polskim rynku s¹ smaczne ";"Zdecydowanie nie";"Zdecydowanie tak";1;5;195;4,256;0,736
"ziemniak.jakosc";67;"ziemniak.jakosc";"Czy Pana Pani zdaniem ziemniaki dostêpne na polskim rynku maj¹ dobr¹ jakoœæ ";"Zdecydowanie nie";"Zdecydowanie tak";2;5;195;4,256;0,597
"ziemniak.produkty";68;"ziemniak.produkty";"Ró¿norodnoœæ preferowanych produktów";"Ma³a";"Du¿a";0;1;195;0,424;0,307
"pomidor.cena";69;"pomidor.cena";"W jakim stopniu cena jest wa¿na dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;182;6,418;2,165
"pomidor.miejsce";70;"pomidor.miejsce";"W jakim stopniu miejsce zakupu jest wa¿ne dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";0;10;182;5,83;2,615
"pomidor.swiezosc";71;"pomidor.swiezosc";"W jakim stopniu œwie¿oœæ jest wa¿na dla Pana Pani przy ich wyborze";"Wcale";"W najwy¿szym stopniu";6;10;182;9,11;1,137
"pomidor.rodzaj";72;"pomidor.rodzaj";"W jakim stopniu odmiana pomidorów jest wa¿na dla Pana Pani przy ich wyborze ";"Wcale";"W najwy¿szym stopniu";0;10;182;6,604;2,483
